"LHD Name","LGA Name","Year","Rate","Lower CI","Upper CI","Women Population","Women Screened"
Sydney LHD,Burwood,2012-2013,42.7,41.2,44.2,4130,1762
Sydney LHD,Burwood,2011-2012,42.0,40.5,43.6,4056,1705
Sydney LHD,Canada Bay,2016-2017,51.4,50.5,52.4,11728,6034
Sydney LHD,Canada Bay,2013-2014,48.3,47.3,49.2,10629,5133
Sydney LHD,Canada Bay,2015-2016,51.1,50.2,52.0,11421,5837
Sydney LHD,Canada Bay,2014-2015,50.2,49.2,51.1,10998,5517
Sydney LHD,Canada Bay,2012-2013,44.1,43.2,45.1,10384,4581
Sydney LHD,Canada Bay,2011-2012,42.9,41.9,43.8,10114,4335
Sydney LHD,Canterbury,2013-2014,39.9,39.2,40.7,18058,7212
Sydney LHD,Canterbury,2015-2016,45.7,45.0,46.4,18563,8487
Sydney LHD,Canterbury,2016-2017,46.5,45.8,47.2,18807,8739
Sydney LHD,Canterbury,2014-2015,43.0,42.3,43.7,18327,7882
Sydney LHD,Canterbury,2012-2013,38.8,38.1,39.5,17685,6859
Sydney LHD,Canterbury,2011-2012,37.4,36.7,38.2,17262,6461
Sydney LHD,Leichhardt,2013-2014,52.8,51.6,53.9,7118,3755
Sydney LHD,Leichhardt,2015-2016,56.4,55.3,57.5,7538,4251
Sydney LHD,Leichhardt,2014-2015,55.4,54.2,56.5,7300,4041
Sydney LHD,Leichhardt,2012-2013,48.4,47.3,49.6,7051,3416
Sydney LHD,Leichhardt,2011-2012,45.7,44.5,46.9,6872,3139
Sydney LHD,Leichhardt,2016-2017,56.4,55.3,57.5,7635,4304
Sydney LHD,Marrickville,2013-2014,44.4,43.4,45.4,8909,3954
Sydney LHD,Marrickville,2016-2017,50.1,49.1,51.2,9332,4679
Sydney LHD,Marrickville,2015-2016,49.2,48.1,50.2,9240,4543
Sydney LHD,Marrickville,2014-2015,47.8,46.8,48.8,9053,4329
Sydney LHD,Marrickville,2012-2013,40.9,39.9,42.0,8819,3610
Sydney LHD,Marrickville,2011-2012,39.2,38.1,40.2,8559,3352
Sydney LHD,Strathfield,2016-2017,46.4,45.0,47.9,4697,2181
Sydney LHD,Strathfield,2013-2014,43.5,42.0,45.0,4247,1849
Sydney LHD,Strathfield,2015-2016,46.5,45.0,47.9,4549,2115
Sydney LHD,Strathfield,2014-2015,45.1,43.7,46.6,4389,1981
Sydney LHD,Strathfield,2012-2013,38.1,36.6,39.6,4144,1578
Sydney LHD,Strathfield,2011-2012,38.0,36.5,39.5,4095,1556
Sydney LHD,Sydney,2013-2014,48.0,47.0,49.1,8383,4028
Sydney LHD,Sydney,2015-2016,53.9,52.9,55.0,9059,4887
Sydney LHD,Sydney,2016-2017,54.2,53.2,55.2,9380,5084
Sydney LHD,Sydney,2014-2015,50.8,49.8,51.9,8709,4426
Sydney LHD,Sydney,2012-2013,46.6,45.5,47.7,8117,3785
Sydney LHD,Sydney,2011-2012,43.5,42.4,44.6,7899,3436
Sydney LHD,Sydney LHD,2016-2017,50.2,49.8,50.5,71608,35934
Sydney LHD,Sydney LHD,2013-2014,45.5,45.1,45.8,66738,30339
Sydney LHD,Sydney LHD,2015-2016,49.8,49.4,50.1,70230,34953
Sydney LHD,Sydney LHD,2014-2015,48.0,47.6,48.4,68383,32836
Sydney LHD,Sydney LHD,2012-2013,42.4,42.0,42.8,65472,27754
Sydney LHD,Sydney LHD,2011-2012,40.7,40.3,41.1,63926,26023
Western NSW LHD,Bathurst Regional,2013-2014,42.9,41.6,44.3,5404,2321
Western NSW LHD,Bathurst Regional,2015-2016,46.7,45.4,48.0,5681,2655
Western NSW LHD,Bathurst Regional,2016-2017,44.6,43.3,45.8,5815,2591
Western NSW LHD,Bathurst Regional,2014-2015,45.0,43.7,46.3,5547,2494
Western NSW LHD,Bathurst Regional,2012-2013,42.5,41.1,43.8,5255,2231
Western NSW LHD,Bathurst Regional,2011-2012,40.9,39.5,42.2,5098,2083
Western NSW LHD,Blayney,2016-2017,61.5,58.6,64.5,1047,644
Western NSW LHD,Blayney,2013-2014,54.4,51.3,57.4,1045,568
Western NSW LHD,Blayney,2015-2016,58.6,55.6,61.6,1042,611
Western NSW LHD,Blayney,2014-2015,55.6,52.6,58.6,1048,583
Western NSW LHD,Blayney,2012-2013,54.1,51.0,57.1,1021,552
Western NSW LHD,Blayney,2011-2012,50.1,47.1,53.2,1001,502
Western NSW LHD,Bogan,2013-2014,57.4,52.5,62.2,401,230
Western NSW LHD,Bogan,2016-2017,56.9,52.1,61.7,406,231
Western NSW LHD,Bogan,2015-2016,57.8,53.0,62.6,405,234
Western NSW LHD,Bogan,2014-2015,56.8,52.0,61.7,403,229
Western NSW LHD,Bogan,2012-2013,55.4,50.5,60.2,401,222
Western NSW LHD,Bogan,2011-2012,56.2,51.4,61.1,402,226
Western NSW LHD,Bourke,2016-2017,40.0,35.1,44.9,385,154
Western NSW LHD,Bourke,2013-2014,43.5,38.3,48.8,340,148
Western NSW LHD,Bourke,2015-2016,42.4,37.3,47.4,368,156
Western NSW LHD,Bourke,2014-2015,41.2,36.1,46.4,354,146
Western NSW LHD,Bourke,2012-2013,45.0,39.7,50.4,331,149
Western NSW LHD,Bourke,2011-2012,43.9,38.5,49.3,326,143
Western NSW LHD,Brewarrina,2016-2017,40.0,34.0,46.0,255,102
Western NSW LHD,Brewarrina,2013-2014,42.3,35.8,48.8,222,94
Western NSW LHD,Brewarrina,2015-2016,43.2,37.0,49.4,243,105
Western NSW LHD,Brewarrina,2014-2015,41.2,34.9,47.5,233,96
Western NSW LHD,Brewarrina,2012-2013,41.0,34.4,47.7,212,87
Western NSW LHD,Brewarrina,2011-2012,43.6,36.7,50.4,202,88
Western NSW LHD,Cabonne,2016-2017,58.3,56.3,60.4,2182,1273
Western NSW LHD,Cabonne,2013-2014,55.8,53.7,57.9,2088,1165
Western NSW LHD,Cabonne,2015-2016,57.7,55.6,59.8,2147,1239
Western NSW LHD,Cabonne,2014-2015,58.7,56.6,60.8,2123,1246
Western NSW LHD,Cabonne,2012-2013,54.6,52.5,56.8,2034,1111
Western NSW LHD,Cabonne,2011-2012,52.7,50.5,54.9,1979,1043
Western NSW LHD,Cobar,2013-2014,55.3,51.3,59.3,593,328
Western NSW LHD,Cobar,2015-2016,57.3,53.2,61.4,567,325
Western NSW LHD,Cobar,2016-2017,58.0,53.9,62.1,564,327
Western NSW LHD,Cobar,2014-2015,54.5,50.5,58.5,587,320
Western NSW LHD,Cobar,2012-2013,56.4,52.3,60.5,571,322
Western NSW LHD,Cobar,2011-2012,58.7,54.6,62.8,552,324
Western NSW LHD,Coonamble,2016-2017,52.0,48.0,56.0,602,313
Western NSW LHD,Coonamble,2013-2014,53.7,49.7,57.8,590,317
Western NSW LHD,Coonamble,2015-2016,52.8,48.8,56.8,600,317
Western NSW LHD,Coonamble,2014-2015,53.4,49.4,57.4,594,317
Western NSW LHD,Coonamble,2012-2013,53.6,49.5,57.6,590,316
Western NSW LHD,Coonamble,2011-2012,54.5,50.5,58.5,589,321
Western NSW LHD,Cowra,2016-2017,61.1,59.0,63.2,2071,1266
Western NSW LHD,Cowra,2013-2014,53.1,51.0,55.3,2064,1097
Western NSW LHD,Cowra,2015-2016,58.1,56.0,60.2,2072,1204
Western NSW LHD,Cowra,2014-2015,58.4,56.3,60.5,2066,1207
Western NSW LHD,Cowra,2012-2013,52.1,49.9,54.2,2068,1077
Western NSW LHD,Cowra,2011-2012,50.6,48.5,52.8,2083,1055
Western NSW LHD,Dubbo,2016-2017,54.2,52.9,55.4,5888,3189
Western NSW LHD,Dubbo,2013-2014,54.6,53.3,55.9,5546,3028
Western NSW LHD,Dubbo,2015-2016,55.3,54.0,56.6,5776,3195
Western NSW LHD,Dubbo,2014-2015,55.7,54.4,57.0,5661,3151
Western NSW LHD,Dubbo,2012-2013,52.1,50.7,53.4,5435,2830
Western NSW LHD,Dubbo,2011-2012,51.7,50.3,53.0,5320,2749
Western NSW LHD,Forbes,2013-2014,59.7,57.2,62.3,1438,859
Western NSW LHD,Forbes,2015-2016,62.4,59.9,64.9,1435,895
Western NSW LHD,Forbes,2016-2017,62.1,59.5,64.6,1426,885
Western NSW LHD,Forbes,2014-2015,63.7,61.2,66.2,1439,917
Western NSW LHD,Forbes,2012-2013,60.4,57.8,62.9,1428,862
Western NSW LHD,Forbes,2011-2012,58.2,55.6,60.7,1408,819
Western NSW LHD,Gilgandra,2013-2014,52.3,48.7,55.9,738,386
Western NSW LHD,Gilgandra,2015-2016,51.0,47.4,54.6,741,378
Western NSW LHD,Gilgandra,2016-2017,51.5,47.9,55.1,734,378
Western NSW LHD,Gilgandra,2014-2015,53.0,49.4,56.6,739,392
Western NSW LHD,Gilgandra,2012-2013,52.2,48.6,55.8,741,387
Western NSW LHD,Gilgandra,2011-2012,52.8,49.2,56.4,742,392
Western NSW LHD,Lachlan,2013-2014,75.1,71.7,78.4,642,482
Western NSW LHD,Lachlan,2015-2016,72.9,69.5,76.3,649,473
Western NSW LHD,Lachlan,2016-2017,79.6,76.5,82.7,653,520
Western NSW LHD,Lachlan,2014-2015,73.1,69.7,76.6,644,471
Western NSW LHD,Lachlan,2012-2013,73.7,70.3,77.1,650,479
Western NSW LHD,Lachlan,2011-2012,73.3,69.9,76.7,659,483
Western NSW LHD,Mid-Western Regional,2013-2014,53.4,51.8,55.0,3578,1911
Western NSW LHD,Mid-Western Regional,2015-2016,55.4,53.8,57.0,3646,2021
Western NSW LHD,Mid-Western Regional,2014-2015,51.9,50.3,53.5,3620,1879
Western NSW LHD,Mid-Western Regional,2012-2013,54.0,52.4,55.7,3507,1895
Western NSW LHD,Mid-Western Regional,2011-2012,51.8,50.1,53.5,3423,1773
Western NSW LHD,Mid-Western Regional,2016-2017,56.5,54.9,58.1,3682,2082
Western NSW LHD,Narromine,2013-2014,49.6,46.5,52.7,998,495
Western NSW LHD,Narromine,2016-2017,51.7,48.6,54.7,1026,530
Western NSW LHD,Narromine,2015-2016,53.7,50.7,56.8,1018,547
Western NSW LHD,Narromine,2014-2015,53.2,50.1,56.3,1009,537
Western NSW LHD,Narromine,2012-2013,51.4,48.3,54.5,986,507
Western NSW LHD,Narromine,2011-2012,49.0,45.8,52.1,976,478
Western NSW LHD,Oberon,2013-2014,49.6,46.3,53.0,852,423
Western NSW LHD,Oberon,2015-2016,53.4,50.1,56.7,886,473
Western NSW LHD,Oberon,2014-2015,52.9,49.6,56.2,868,459
Western NSW LHD,Oberon,2012-2013,50.7,47.3,54.1,844,428
Western NSW LHD,Oberon,2011-2012,45.8,42.4,49.2,825,378
Western NSW LHD,Oberon,2016-2017,53.6,50.4,56.9,891,478
Western NSW LHD,Orange,2013-2014,57.7,56.4,59.0,5231,3018
Western NSW LHD,Orange,2015-2016,57.7,56.3,59.0,5435,3134
Western NSW LHD,Orange,2016-2017,57.7,56.4,59.0,5528,3191
Western NSW LHD,Orange,2014-2015,57.6,56.3,58.9,5333,3073
Western NSW LHD,Orange,2012-2013,54.7,53.4,56.1,5130,2807
Western NSW LHD,Orange,2011-2012,51.3,49.9,52.7,5006,2567
Western NSW LHD,Parkes,2013-2014,58.2,56.1,60.3,2065,1202
Western NSW LHD,Parkes,2015-2016,62.6,60.6,64.7,2119,1327
Western NSW LHD,Parkes,2014-2015,61.8,59.8,63.9,2091,1293
Western NSW LHD,Parkes,2012-2013,59.7,57.6,61.8,2050,1224
Western NSW LHD,Parkes,2011-2012,54.8,52.7,57.0,2041,1119
Western NSW LHD,Parkes,2016-2017,62.9,60.9,65.0,2140,1347
Western NSW LHD,Walgett,2013-2014,45.9,42.7,49.1,926,425
Western NSW LHD,Walgett,2015-2016,43.7,40.6,46.8,961,420
Western NSW LHD,Walgett,2014-2015,45.1,41.9,48.2,943,425
Western NSW LHD,Walgett,2016-2017,43.6,40.5,46.8,967,422
Western NSW LHD,Walgett,2012-2013,44.8,41.6,48.0,918,411
Western NSW LHD,Walgett,2011-2012,45.5,42.3,48.8,905,412
Western NSW LHD,Warren,2013-2014,60.8,56.1,65.5,411,250
Western NSW LHD,Warren,2015-2016,58.6,53.8,63.4,408,239
Western NSW LHD,Warren,2014-2015,60.0,55.3,64.7,410,246
Western NSW LHD,Warren,2012-2013,56.7,51.9,61.5,409,232
Western NSW LHD,Warren,2011-2012,57.2,52.4,62.0,404,231
Western NSW LHD,Warren,2016-2017,59.4,54.6,64.1,406,241
Western NSW LHD,Warrumbungle Shire,2015-2016,59.9,57.5,62.3,1605,961
Western NSW LHD,Warrumbungle Shire,2014-2015,56.0,53.6,58.4,1648,923
Western NSW LHD,Warrumbungle Shire,2012-2013,54.4,52.0,56.8,1650,898
Western NSW LHD,Warrumbungle Shire,2011-2012,54.3,51.9,56.7,1622,881
Western NSW LHD,Warrumbungle Shire,2016-2017,62.2,59.9,64.6,1576,981
Western NSW LHD,Warrumbungle Shire,2013-2014,55.9,53.5,58.3,1670,934
Western NSW LHD,Weddin,2015-2016,64.9,61.1,68.6,626,406
Western NSW LHD,Weddin,2014-2015,63.3,59.6,67.1,635,402
Western NSW LHD,Weddin,2012-2013,57.0,53.2,60.9,640,365
Western NSW LHD,Weddin,2011-2012,55.2,51.3,59.0,631,348
Western NSW LHD,Weddin,2016-2017,68.0,64.3,71.7,612,416
Western NSW LHD,Weddin,2013-2014,56.7,52.9,60.6,640,363
Western NSW LHD,Wellington,2015-2016,53.0,50.3,55.7,1298,688
Western NSW LHD,Wellington,2016-2017,54.6,51.9,57.3,1286,702
Western NSW LHD,Wellington,2014-2015,50.8,48.1,53.5,1318,670
Western NSW LHD,Wellington,2012-2013,47.3,44.6,50.0,1314,621
Western NSW LHD,Wellington,2011-2012,46.5,43.8,49.2,1298,604
Western NSW LHD,Wellington,2013-2014,49.2,46.5,51.9,1328,653
Western NSW LHD,Western NSW LHD,2015-2016,55.4,54.9,55.9,39728,22003
Western NSW LHD,Western NSW LHD,2014-2015,54.6,54.1,55.1,39313,21476
Western NSW LHD,Western NSW LHD,2012-2013,52.4,51.9,52.9,38185,20013
Western NSW LHD,Western NSW LHD,2011-2012,50.7,50.2,51.2,37492,19019
Western NSW LHD,Western NSW LHD,2016-2017,55.5,55.0,55.9,40142,22263
Western NSW LHD,Western NSW LHD,2013-2014,53.3,52.8,53.8,38810,20697
Western Sydney LHD,Auburn,2015-2016,44.5,43.5,45.6,8974,3997
Western Sydney LHD,Auburn,2014-2015,41.8,40.7,42.8,8694,3631
Western Sydney LHD,Auburn,2012-2013,39.6,38.5,40.7,7953,3151
Western Sydney LHD,Auburn,2011-2012,37.7,36.6,38.7,7638,2876
Western Sydney LHD,Auburn,2016-2017,45.3,44.3,46.4,9315,4224
Western Sydney LHD,Auburn,2013-2014,42.5,41.4,43.5,8366,3552
Western Sydney LHD,Blacktown,2015-2016,45.7,45.2,46.2,38607,17655
Western Sydney LHD,Blacktown,2014-2015,43.2,42.7,43.7,37739,16314
Western Sydney LHD,Blacktown,2012-2013,40.4,39.9,40.9,35145,14208
Western Sydney LHD,Blacktown,2011-2012,38.2,37.6,38.7,33912,12939
Western Sydney LHD,Blacktown,2016-2017,46.3,45.8,46.8,39730,18404
Western Sydney LHD,Blacktown,2013-2014,42.6,42.1,43.1,36656,15627
Western Sydney LHD,Holroyd,2015-2016,47.1,46.2,47.9,12700,5977
Western Sydney LHD,Holroyd,2014-2015,45.1,44.2,46.0,12411,5597
Western Sydney LHD,Holroyd,2012-2013,43.5,42.6,44.4,11901,5181
Western Sydney LHD,Holroyd,2011-2012,41.2,40.3,42.1,11718,4826
Western Sydney LHD,Holroyd,2016-2017,47.1,46.3,48.0,12923,6090
Western Sydney LHD,Holroyd,2013-2014,44.2,43.3,45.1,12134,5361
Western Sydney LHD,Parramatta,2015-2016,46.3,45.6,46.9,20870,9653
Western Sydney LHD,Parramatta,2014-2015,44.4,43.7,45.0,20328,9018
Western Sydney LHD,Parramatta,2012-2013,41.8,41.1,42.5,19222,8037
Western Sydney LHD,Parramatta,2011-2012,39.3,38.6,40.0,18797,7392
Western Sydney LHD,Parramatta,2016-2017,46.6,45.9,47.2,21337,9935
Western Sydney LHD,Parramatta,2013-2014,43.8,43.1,44.5,19772,8667
Western Sydney LHD,The Hills Shire,2015-2016,51.7,51.2,52.3,27590,14276
Western Sydney LHD,The Hills Shire,2014-2015,50.8,50.2,51.4,26777,13610
Western Sydney LHD,The Hills Shire,2012-2013,48.3,47.7,48.9,25401,12264
Western Sydney LHD,The Hills Shire,2011-2012,47.4,46.8,48.0,24618,11674
Western Sydney LHD,The Hills Shire,2016-2017,52.0,51.4,52.6,28227,14669
Western Sydney LHD,The Hills Shire,2013-2014,50.3,49.7,50.9,26026,13101
Western Sydney LHD,Western Sydney LHD,2015-2016,47.4,47.1,47.7,108741,51558
Western Sydney LHD,Western Sydney LHD,2011-2012,41.1,40.8,41.4,96683,39707
Western Sydney LHD,Western Sydney LHD,2012-2013,43.0,42.7,43.3,99622,42841
Western Sydney LHD,Western Sydney LHD,2014-2015,45.5,45.2,45.8,105949,48170
Western Sydney LHD,Western Sydney LHD,2013-2014,45.0,44.7,45.3,102954,46308
Western Sydney LHD,Western Sydney LHD,2016-2017,47.8,47.5,48.1,111532,53322
