Row,Long,Lat,Segment,ObjectID,LHDCode,LHDName,LHDSegment
100,151.465,-33.3019,1,0,X770,Central Coast,X770.s1
101,151.4605,-33.2983,1,0,X770,Central Coast,X770.s1
102,151.4525,-33.2986,1,0,X770,Central Coast,X770.s1
103,151.4417,-33.3069,1,0,X770,Central Coast,X770.s1
104,151.4412,-33.309,1,0,X770,Central Coast,X770.s1
105,151.4441,-33.3099,1,0,X770,Central Coast,X770.s1
106,151.443,-33.3076,1,0,X770,Central Coast,X770.s1
107,151.445,-33.3089,1,0,X770,Central Coast,X770.s1
108,151.445,-33.3122,1,0,X770,Central Coast,X770.s1
109,151.449,-33.3199,1,0,X770,Central Coast,X770.s1
110,151.4686,-33.3285,1,0,X770,Central Coast,X770.s1
111,151.4665,-33.3297,1,0,X770,Central Coast,X770.s1
112,151.4654,-33.3276,1,0,X770,Central Coast,X770.s1
113,151.4533,-33.3253,1,0,X770,Central Coast,X770.s1
114,151.447,-33.3265,1,0,X770,Central Coast,X770.s1
115,151.4418,-33.3299,1,0,X770,Central Coast,X770.s1
116,151.4391,-33.3417,1,0,X770,Central Coast,X770.s1
117,151.442,-33.3473,1,0,X770,Central Coast,X770.s1
118,151.4488,-33.3546,1,0,X770,Central Coast,X770.s1
119,151.4626,-33.3629,1,0,X770,Central Coast,X770.s1
120,151.4693,-33.3654,1,0,X770,Central Coast,X770.s1
121,151.4737,-33.3646,1,0,X770,Central Coast,X770.s1
122,151.4741,-33.3659,1,0,X770,Central Coast,X770.s1
123,151.4849,-33.3547,1,0,X770,Central Coast,X770.s1
124,151.4905,-33.3433,1,0,X770,Central Coast,X770.s1
125,151.4903,-33.3385,1,0,X770,Central Coast,X770.s1
126,151.494,-33.3365,1,0,X770,Central Coast,X770.s1
127,151.499,-33.339,1,0,X770,Central Coast,X770.s1
128,151.5022,-33.3455,1,0,X770,Central Coast,X770.s1
129,151.5042,-33.3453,1,0,X770,Central Coast,X770.s1
130,151.5032,-33.3489,1,0,X770,Central Coast,X770.s1
131,151.5049,-33.3541,1,0,X770,Central Coast,X770.s1
132,151.5021,-33.3547,1,0,X770,Central Coast,X770.s1
133,151.5002,-33.3604,1,0,X770,Central Coast,X770.s1
134,151.5017,-33.3624,1,0,X770,Central Coast,X770.s1
135,151.5032,-33.3612,1,0,X770,Central Coast,X770.s1
136,151.5044,-33.3625,1,0,X770,Central Coast,X770.s1
137,151.503,-33.3635,1,0,X770,Central Coast,X770.s1
138,151.5003,-33.3626,1,0,X770,Central Coast,X770.s1
139,151.4994,-33.3649,1,0,X770,Central Coast,X770.s1
140,151.4916,-33.3695,1,0,X770,Central Coast,X770.s1
141,151.4874,-33.3745,1,0,X770,Central Coast,X770.s1
142,151.4862,-33.3796,1,0,X770,Central Coast,X770.s1
143,151.4887,-33.3818,1,0,X770,Central Coast,X770.s1
144,151.4834,-33.3846,1,0,X770,Central Coast,X770.s1
145,151.4872,-33.3909,1,0,X770,Central Coast,X770.s1
146,151.4866,-33.3942,1,0,X770,Central Coast,X770.s1
147,151.4845,-33.3948,1,0,X770,Central Coast,X770.s1
148,151.485,-33.3986,1,0,X770,Central Coast,X770.s1
149,151.4792,-33.4025,1,0,X770,Central Coast,X770.s1
150,151.4764,-33.4075,1,0,X770,Central Coast,X770.s1
151,151.4682,-33.4103,1,0,X770,Central Coast,X770.s1
152,151.463,-33.4153,1,0,X770,Central Coast,X770.s1
153,151.4627,-33.4185,1,0,X770,Central Coast,X770.s1
154,151.4545,-33.4239,1,0,X770,Central Coast,X770.s1
155,151.4537,-33.4266,1,0,X770,Central Coast,X770.s1
156,151.4488,-33.43,1,0,X770,Central Coast,X770.s1
157,151.445,-33.4354,1,0,X770,Central Coast,X770.s1
158,151.4435,-33.4411,1,0,X770,Central Coast,X770.s1
159,151.4443,-33.4446,1,0,X770,Central Coast,X770.s1
160,151.4467,-33.4478,1,0,X770,Central Coast,X770.s1
161,151.4496,-33.4479,1,0,X770,Central Coast,X770.s1
162,151.4501,-33.4462,1,0,X770,Central Coast,X770.s1
163,151.4521,-33.4472,1,0,X770,Central Coast,X770.s1
164,151.4526,-33.4511,1,0,X770,Central Coast,X770.s1
165,151.4495,-33.4512,1,0,X770,Central Coast,X770.s1
166,151.4443,-33.4566,1,0,X770,Central Coast,X770.s1
167,151.4404,-33.4582,1,0,X770,Central Coast,X770.s1
168,151.4355,-33.468,1,0,X770,Central Coast,X770.s1
169,151.4366,-33.4701,1,0,X770,Central Coast,X770.s1
170,151.4407,-33.4713,1,0,X770,Central Coast,X770.s1
171,151.4415,-33.4767,1,0,X770,Central Coast,X770.s1
172,151.4437,-33.4794,1,0,X770,Central Coast,X770.s1
173,151.4426,-33.4817,1,0,X770,Central Coast,X770.s1
174,151.4469,-33.4865,1,0,X770,Central Coast,X770.s1
175,151.445,-33.487,1,0,X770,Central Coast,X770.s1
176,151.4438,-33.4911,1,0,X770,Central Coast,X770.s1
177,151.4387,-33.4923,1,0,X770,Central Coast,X770.s1
178,151.4331,-33.4911,1,0,X770,Central Coast,X770.s1
179,151.4279,-33.4946,1,0,X770,Central Coast,X770.s1
180,151.4252,-33.5002,1,0,X770,Central Coast,X770.s1
181,151.4289,-33.5029,1,0,X770,Central Coast,X770.s1
182,151.4292,-33.5052,1,0,X770,Central Coast,X770.s1
183,151.4229,-33.5092,1,0,X770,Central Coast,X770.s1
184,151.4227,-33.5111,1,0,X770,Central Coast,X770.s1
185,151.4189,-33.5108,1,0,X770,Central Coast,X770.s1
186,151.4215,-33.5184,1,0,X770,Central Coast,X770.s1
187,151.419,-33.5215,1,0,X770,Central Coast,X770.s1
188,151.4152,-33.524,1,0,X770,Central Coast,X770.s1
189,151.4104,-33.5224,1,0,X770,Central Coast,X770.s1
190,151.4099,-33.5248,1,0,X770,Central Coast,X770.s1
191,151.4069,-33.5253,1,0,X770,Central Coast,X770.s1
192,151.4064,-33.5281,1,0,X770,Central Coast,X770.s1
193,151.4049,-33.5287,1,0,X770,Central Coast,X770.s1
194,151.3971,-33.5265,1,0,X770,Central Coast,X770.s1
195,151.394,-33.5281,1,0,X770,Central Coast,X770.s1
196,151.3961,-33.5252,1,0,X770,Central Coast,X770.s1
197,151.3936,-33.5233,1,0,X770,Central Coast,X770.s1
198,151.3874,-33.5243,1,0,X770,Central Coast,X770.s1
199,151.3847,-33.5303,1,0,X770,Central Coast,X770.s1
200,151.3806,-33.5333,1,0,X770,Central Coast,X770.s1
201,151.3784,-33.531,1,0,X770,Central Coast,X770.s1
202,151.3736,-33.5315,1,0,X770,Central Coast,X770.s1
203,151.3746,-33.53,1,0,X770,Central Coast,X770.s1
204,151.3725,-33.5288,1,0,X770,Central Coast,X770.s1
205,151.3643,-33.5307,1,0,X770,Central Coast,X770.s1
206,151.3595,-33.533,1,0,X770,Central Coast,X770.s1
207,151.3593,-33.5349,1,0,X770,Central Coast,X770.s1
208,151.3485,-33.5399,1,0,X770,Central Coast,X770.s1
209,151.3455,-33.5472,1,0,X770,Central Coast,X770.s1
210,151.3424,-33.543,1,0,X770,Central Coast,X770.s1
211,151.3426,-33.5394,1,0,X770,Central Coast,X770.s1
212,151.337,-33.537,1,0,X770,Central Coast,X770.s1
213,151.3382,-33.5329,1,0,X770,Central Coast,X770.s1
214,151.3411,-33.5303,1,0,X770,Central Coast,X770.s1
215,151.3396,-33.526,1,0,X770,Central Coast,X770.s1
216,151.3359,-33.5223,1,0,X770,Central Coast,X770.s1
217,151.3417,-33.5195,1,0,X770,Central Coast,X770.s1
218,151.3446,-33.526,1,0,X770,Central Coast,X770.s1
219,151.3467,-33.5273,1,0,X770,Central Coast,X770.s1
220,151.3502,-33.5255,1,0,X770,Central Coast,X770.s1
221,151.353,-33.5213,1,0,X770,Central Coast,X770.s1
222,151.3546,-33.5212,1,0,X770,Central Coast,X770.s1
223,151.3567,-33.5254,1,0,X770,Central Coast,X770.s1
224,151.3618,-33.5232,1,0,X770,Central Coast,X770.s1
225,151.3634,-33.5209,1,0,X770,Central Coast,X770.s1
226,151.3604,-33.5204,1,0,X770,Central Coast,X770.s1
227,151.3585,-33.5164,1,0,X770,Central Coast,X770.s1
228,151.359,-33.5111,1,0,X770,Central Coast,X770.s1
229,151.3526,-33.5114,1,0,X770,Central Coast,X770.s1
230,151.352,-33.5069,1,0,X770,Central Coast,X770.s1
231,151.3494,-33.5061,1,0,X770,Central Coast,X770.s1
232,151.346,-33.5076,1,0,X770,Central Coast,X770.s1
233,151.3449,-33.51,1,0,X770,Central Coast,X770.s1
234,151.3487,-33.5115,1,0,X770,Central Coast,X770.s1
235,151.3503,-33.5159,1,0,X770,Central Coast,X770.s1
236,151.3438,-33.5176,1,0,X770,Central Coast,X770.s1
237,151.3364,-33.5152,1,0,X770,Central Coast,X770.s1
238,151.3306,-33.5244,1,0,X770,Central Coast,X770.s1
239,151.3191,-33.5261,1,0,X770,Central Coast,X770.s1
240,151.3125,-33.5301,1,0,X770,Central Coast,X770.s1
241,151.3117,-33.5342,1,0,X770,Central Coast,X770.s1
242,151.3149,-33.5354,1,0,X770,Central Coast,X770.s1
243,151.3078,-33.5433,1,0,X770,Central Coast,X770.s1
244,151.3085,-33.5457,1,0,X770,Central Coast,X770.s1
245,151.3111,-33.5453,1,0,X770,Central Coast,X770.s1
246,151.3086,-33.5509,1,0,X770,Central Coast,X770.s1
247,151.3097,-33.5546,1,0,X770,Central Coast,X770.s1
248,151.3019,-33.5569,1,0,X770,Central Coast,X770.s1
249,151.2856,-33.5532,1,0,X770,Central Coast,X770.s1
250,151.2788,-33.5536,1,0,X770,Central Coast,X770.s1
251,151.2776,-33.5512,1,0,X770,Central Coast,X770.s1
252,151.2739,-33.5509,1,0,X770,Central Coast,X770.s1
253,151.2675,-33.5567,1,0,X770,Central Coast,X770.s1
254,151.2712,-33.5612,1,0,X770,Central Coast,X770.s1
255,151.2689,-33.5618,1,0,X770,Central Coast,X770.s1
256,151.2679,-33.565,1,0,X770,Central Coast,X770.s1
257,151.2658,-33.5631,1,0,X770,Central Coast,X770.s1
258,151.2632,-33.5637,1,0,X770,Central Coast,X770.s1
259,151.2586,-33.5706,1,0,X770,Central Coast,X770.s1
260,151.2512,-33.5587,1,0,X770,Central Coast,X770.s1
261,151.2459,-33.5556,1,0,X770,Central Coast,X770.s1
262,151.2533,-33.5432,1,0,X770,Central Coast,X770.s1
263,151.255,-33.5353,1,0,X770,Central Coast,X770.s1
264,151.251,-33.5291,1,0,X770,Central Coast,X770.s1
265,151.2368,-33.5281,1,0,X770,Central Coast,X770.s1
266,151.238,-33.5249,1,0,X770,Central Coast,X770.s1
267,151.241,-33.523,1,0,X770,Central Coast,X770.s1
268,151.2376,-33.5195,1,0,X770,Central Coast,X770.s1
269,151.2397,-33.5155,1,0,X770,Central Coast,X770.s1
270,151.2373,-33.5109,1,0,X770,Central Coast,X770.s1
271,151.2402,-33.5087,1,0,X770,Central Coast,X770.s1
272,151.247,-33.5083,1,0,X770,Central Coast,X770.s1
273,151.2443,-33.5056,1,0,X770,Central Coast,X770.s1
274,151.2457,-33.4997,1,0,X770,Central Coast,X770.s1
275,151.2542,-33.4966,1,0,X770,Central Coast,X770.s1
276,151.2591,-33.4991,1,0,X770,Central Coast,X770.s1
277,151.2575,-33.4963,1,0,X770,Central Coast,X770.s1
278,151.2629,-33.4918,1,0,X770,Central Coast,X770.s1
279,151.262,-33.49,1,0,X770,Central Coast,X770.s1
280,151.2657,-33.4849,1,0,X770,Central Coast,X770.s1
281,151.2558,-33.4938,1,0,X770,Central Coast,X770.s1
282,151.2495,-33.4942,1,0,X770,Central Coast,X770.s1
283,151.2471,-33.4966,1,0,X770,Central Coast,X770.s1
284,151.2425,-33.4977,1,0,X770,Central Coast,X770.s1
285,151.2397,-33.5043,1,0,X770,Central Coast,X770.s1
286,151.2314,-33.5074,1,0,X770,Central Coast,X770.s1
287,151.2329,-33.5143,1,0,X770,Central Coast,X770.s1
288,151.2314,-33.5231,1,0,X770,Central Coast,X770.s1
289,151.2291,-33.5297,1,0,X770,Central Coast,X770.s1
290,151.227,-33.5305,1,0,X770,Central Coast,X770.s1
291,151.2253,-33.5292,1,0,X770,Central Coast,X770.s1
292,151.2276,-33.5246,1,0,X770,Central Coast,X770.s1
293,151.2267,-33.5219,1,0,X770,Central Coast,X770.s1
294,151.2227,-33.5204,1,0,X770,Central Coast,X770.s1
295,151.2193,-33.5205,1,0,X770,Central Coast,X770.s1
296,151.2187,-33.5224,1,0,X770,Central Coast,X770.s1
297,151.2102,-33.5212,1,0,X770,Central Coast,X770.s1
298,151.2104,-33.5133,1,0,X770,Central Coast,X770.s1
299,151.2076,-33.5136,1,0,X770,Central Coast,X770.s1
300,151.2062,-33.509,1,0,X770,Central Coast,X770.s1
301,151.2015,-33.5089,1,0,X770,Central Coast,X770.s1
302,151.2031,-33.5047,1,0,X770,Central Coast,X770.s1
303,151.1993,-33.5025,1,0,X770,Central Coast,X770.s1
304,151.2002,-33.4984,1,0,X770,Central Coast,X770.s1
305,151.1976,-33.4952,1,0,X770,Central Coast,X770.s1
306,151.1981,-33.4914,1,0,X770,Central Coast,X770.s1
307,151.2067,-33.4812,1,0,X770,Central Coast,X770.s1
308,151.2127,-33.4862,1,0,X770,Central Coast,X770.s1
309,151.2121,-33.4806,1,0,X770,Central Coast,X770.s1
310,151.2143,-33.4764,1,0,X770,Central Coast,X770.s1
311,151.2174,-33.4768,1,0,X770,Central Coast,X770.s1
312,151.2223,-33.4806,1,0,X770,Central Coast,X770.s1
313,151.225,-33.4782,1,0,X770,Central Coast,X770.s1
314,151.2324,-33.4799,1,0,X770,Central Coast,X770.s1
315,151.2302,-33.4765,1,0,X770,Central Coast,X770.s1
316,151.2377,-33.4756,1,0,X770,Central Coast,X770.s1
317,151.235,-33.4737,1,0,X770,Central Coast,X770.s1
318,151.2345,-33.4695,1,0,X770,Central Coast,X770.s1
319,151.2371,-33.4685,1,0,X770,Central Coast,X770.s1
320,151.2327,-33.4653,1,0,X770,Central Coast,X770.s1
321,151.234,-33.4629,1,0,X770,Central Coast,X770.s1
322,151.2336,-33.4578,1,0,X770,Central Coast,X770.s1
323,151.2375,-33.4538,1,0,X770,Central Coast,X770.s1
324,151.2341,-33.4536,1,0,X770,Central Coast,X770.s1
325,151.2293,-33.4563,1,0,X770,Central Coast,X770.s1
326,151.2309,-33.4571,1,0,X770,Central Coast,X770.s1
327,151.2313,-33.4625,1,0,X770,Central Coast,X770.s1
328,151.2285,-33.4664,1,0,X770,Central Coast,X770.s1
329,151.2317,-33.4687,1,0,X770,Central Coast,X770.s1
330,151.232,-33.4731,1,0,X770,Central Coast,X770.s1
331,151.2286,-33.4727,1,0,X770,Central Coast,X770.s1
332,151.2262,-33.4755,1,0,X770,Central Coast,X770.s1
333,151.2212,-33.4761,1,0,X770,Central Coast,X770.s1
334,151.2209,-33.4728,1,0,X770,Central Coast,X770.s1
335,151.2154,-33.474,1,0,X770,Central Coast,X770.s1
336,151.2147,-33.4705,1,0,X770,Central Coast,X770.s1
337,151.2102,-33.4768,1,0,X770,Central Coast,X770.s1
338,151.2083,-33.4756,1,0,X770,Central Coast,X770.s1
339,151.2059,-33.4776,1,0,X770,Central Coast,X770.s1
340,151.2021,-33.4777,1,0,X770,Central Coast,X770.s1
341,151.2023,-33.4825,1,0,X770,Central Coast,X770.s1
342,151.1957,-33.4889,1,0,X770,Central Coast,X770.s1
343,151.1919,-33.4888,1,0,X770,Central Coast,X770.s1
344,151.1946,-33.4918,1,0,X770,Central Coast,X770.s1
345,151.1936,-33.4953,1,0,X770,Central Coast,X770.s1
346,151.1951,-33.5051,1,0,X770,Central Coast,X770.s1
347,151.1973,-33.5065,1,0,X770,Central Coast,X770.s1
348,151.1945,-33.5077,1,0,X770,Central Coast,X770.s1
349,151.1959,-33.5122,1,0,X770,Central Coast,X770.s1
350,151.1938,-33.5109,1,0,X770,Central Coast,X770.s1
351,151.1936,-33.512,1,0,X770,Central Coast,X770.s1
352,151.1984,-33.5155,1,0,X770,Central Coast,X770.s1
353,151.1993,-33.522,1,0,X770,Central Coast,X770.s1
354,151.2021,-33.5222,1,0,X770,Central Coast,X770.s1
355,151.2032,-33.5196,1,0,X770,Central Coast,X770.s1
356,151.2047,-33.5207,1,0,X770,Central Coast,X770.s1
357,151.2045,-33.5249,1,0,X770,Central Coast,X770.s1
358,151.2022,-33.5253,1,0,X770,Central Coast,X770.s1
359,151.2035,-33.5294,1,0,X770,Central Coast,X770.s1
360,151.1993,-33.5361,1,0,X770,Central Coast,X770.s1
361,151.1965,-33.5326,1,0,X770,Central Coast,X770.s1
362,151.1981,-33.5304,1,0,X770,Central Coast,X770.s1
363,151.197,-33.5284,1,0,X770,Central Coast,X770.s1
364,151.1948,-33.5291,1,0,X770,Central Coast,X770.s1
365,151.1951,-33.531,1,0,X770,Central Coast,X770.s1
366,151.1932,-33.5289,1,0,X770,Central Coast,X770.s1
367,151.1932,-33.5278,1,0,X770,Central Coast,X770.s1
368,151.1946,-33.5288,1,0,X770,Central Coast,X770.s1
369,151.197,-33.5275,1,0,X770,Central Coast,X770.s1
370,151.1951,-33.5244,1,0,X770,Central Coast,X770.s1
371,151.1925,-33.5235,1,0,X770,Central Coast,X770.s1
372,151.1897,-33.5115,1,0,X770,Central Coast,X770.s1
373,151.1819,-33.5008,1,0,X770,Central Coast,X770.s1
374,151.1745,-33.5005,1,0,X770,Central Coast,X770.s1
375,151.1704,-33.5021,1,0,X770,Central Coast,X770.s1
376,151.1644,-33.5153,1,0,X770,Central Coast,X770.s1
377,151.1598,-33.511,1,0,X770,Central Coast,X770.s1
378,151.1602,-33.5038,1,0,X770,Central Coast,X770.s1
379,151.1628,-33.4992,1,0,X770,Central Coast,X770.s1
380,151.1626,-33.4933,1,0,X770,Central Coast,X770.s1
381,151.16,-33.4885,1,0,X770,Central Coast,X770.s1
382,151.1537,-33.4886,1,0,X770,Central Coast,X770.s1
383,151.1535,-33.4867,1,0,X770,Central Coast,X770.s1
384,151.1622,-33.4706,1,0,X770,Central Coast,X770.s1
385,151.165,-33.4681,1,0,X770,Central Coast,X770.s1
386,151.1709,-33.4705,1,0,X770,Central Coast,X770.s1
387,151.1721,-33.4695,1,0,X770,Central Coast,X770.s1
388,151.1661,-33.4665,1,0,X770,Central Coast,X770.s1
389,151.1643,-33.4634,1,0,X770,Central Coast,X770.s1
390,151.1535,-33.455,1,0,X770,Central Coast,X770.s1
391,151.1595,-33.4507,1,0,X770,Central Coast,X770.s1
392,151.163,-33.4417,1,0,X770,Central Coast,X770.s1
393,151.1671,-33.4423,1,0,X770,Central Coast,X770.s1
394,151.1689,-33.4394,1,0,X770,Central Coast,X770.s1
395,151.1729,-33.4381,1,0,X770,Central Coast,X770.s1
396,151.1701,-33.4351,1,0,X770,Central Coast,X770.s1
397,151.1709,-33.4312,1,0,X770,Central Coast,X770.s1
398,151.1664,-33.4267,1,0,X770,Central Coast,X770.s1
399,151.1637,-33.4271,1,0,X770,Central Coast,X770.s1
400,151.1654,-33.4302,1,0,X770,Central Coast,X770.s1
401,151.1642,-33.4342,1,0,X770,Central Coast,X770.s1
402,151.1619,-33.4369,1,0,X770,Central Coast,X770.s1
403,151.1589,-33.4367,1,0,X770,Central Coast,X770.s1
404,151.1522,-33.4481,1,0,X770,Central Coast,X770.s1
405,151.1457,-33.4479,1,0,X770,Central Coast,X770.s1
406,151.1455,-33.4547,1,0,X770,Central Coast,X770.s1
407,151.1482,-33.4612,1,0,X770,Central Coast,X770.s1
408,151.1431,-33.4602,1,0,X770,Central Coast,X770.s1
409,151.1403,-33.469,1,0,X770,Central Coast,X770.s1
410,151.1358,-33.4693,1,0,X770,Central Coast,X770.s1
411,151.1227,-33.4625,1,0,X770,Central Coast,X770.s1
412,151.1148,-33.4638,1,0,X770,Central Coast,X770.s1
413,151.1074,-33.4709,1,0,X770,Central Coast,X770.s1
414,151.1044,-33.4792,1,0,X770,Central Coast,X770.s1
415,151.1016,-33.4807,1,0,X770,Central Coast,X770.s1
416,151.0967,-33.4802,1,0,X770,Central Coast,X770.s1
417,151.0911,-33.4761,1,0,X770,Central Coast,X770.s1
418,151.0861,-33.4556,1,0,X770,Central Coast,X770.s1
419,151.0809,-33.4467,1,0,X770,Central Coast,X770.s1
420,151.0782,-33.4451,1,0,X770,Central Coast,X770.s1
421,151.0728,-33.449,1,0,X770,Central Coast,X770.s1
422,151.0737,-33.4558,1,0,X770,Central Coast,X770.s1
423,151.0756,-33.4581,1,0,X770,Central Coast,X770.s1
424,151.0746,-33.4598,1,0,X770,Central Coast,X770.s1
425,151.0691,-33.4569,1,0,X770,Central Coast,X770.s1
426,151.0678,-33.4596,1,0,X770,Central Coast,X770.s1
427,151.0639,-33.4544,1,0,X770,Central Coast,X770.s1
428,151.0632,-33.4425,1,0,X770,Central Coast,X770.s1
429,151.0517,-33.4407,1,0,X770,Central Coast,X770.s1
430,151.0441,-33.4297,1,0,X770,Central Coast,X770.s1
431,151.0357,-33.4292,1,0,X770,Central Coast,X770.s1
432,151.0323,-33.4273,1,0,X770,Central Coast,X770.s1
433,151.0309,-33.4221,1,0,X770,Central Coast,X770.s1
434,151.0337,-33.4094,1,0,X770,Central Coast,X770.s1
435,151.0319,-33.4054,1,0,X770,Central Coast,X770.s1
436,151.0212,-33.4006,1,0,X770,Central Coast,X770.s1
437,151.0012,-33.4016,1,0,X770,Central Coast,X770.s1
