lhd,LGA,year,calc_rate,calc_LCI,calc_UCI,calc_inv
Western NSW LHD,Dubbo,2017,0.339,0.324,0.354,3654
Western NSW LHD,Forbes,2017,0.366,0.335,0.397,921
Western NSW LHD,Gilgandra,2017,0.368,0.323,0.413,435
Western NSW LHD,Lachlan,2017,0.316,0.272,0.36,423
Western NSW LHD,Mid-Western Regional,2017,0.388,0.369,0.408,2394
Western NSW LHD,Narromine,2017,0.31,0.275,0.345,671
Western NSW LHD,Oberon,2017,0.375,0.333,0.417,520
Western NSW LHD,Orange,2017,0.372,0.356,0.387,3679
Western NSW LHD,Parkes,2017,0.359,0.334,0.384,1416
Western NSW LHD,Walgett,2017,0.278,0.242,0.314,601
Western NSW LHD,Warren,2017,0.304,0.248,0.361,253
Western NSW LHD,Warrumbungle Shire,2017,0.406,0.374,0.437,932
Western NSW LHD,Weddin,2017,0.389,0.341,0.438,388
Western NSW LHD,Wellington,2017,0.29,0.258,0.322,769
Western NSW LHD,Western NSW LHD,2017,0.36,0.354,0.366,24995
Western Sydney LHD,Auburn,2017,0.327,0.316,0.339,6307
Western Sydney LHD,Blacktown,2017,0.305,0.299,0.31,26464
Western Sydney LHD,Holroyd,2017,0.331,0.321,0.342,8459
Western Sydney LHD,Parramatta,2017,0.333,0.325,0.34,14468
Western Sydney LHD,The Hills Shire,2017,0.395,0.388,0.402,18107
Western Sydney LHD,Western Sydney LHD,2017,0.337,0.334,0.341,73805
