lhd,LGA,year,calc_rate,calc_LCI,calc_UCI,calc_inv
Hunter New England LHD,Moree Plains,2016,0.304,0.274,0.333,935
Hunter New England LHD,Muswellbrook,2016,0.377,0.348,0.405,1091
Hunter New England LHD,Narrabri,2016,0.336,0.306,0.365,1004
Hunter New England LHD,Newcastle,2016,0.405,0.397,0.414,11599
Hunter New England LHD,Port Stephens,2016,0.436,0.424,0.448,6187
Hunter New England LHD,Singleton,2016,0.361,0.337,0.385,1516
Hunter New England LHD,Tamworth Regional,2016,0.406,0.392,0.42,4623
Hunter New England LHD,Tenterfield,2016,0.337,0.297,0.376,558
Hunter New England LHD,Upper Hunter Shire,2016,0.399,0.37,0.429,1055
Hunter New England LHD,Uralla,2016,0.441,0.399,0.483,540
Hunter New England LHD,Walcha,2016,0.437,0.379,0.495,279
Illawarra Shoalhaven LHD,Illawarra Shoalhaven LHD,2016,0.411,0.406,0.416,33019
Illawarra Shoalhaven LHD,Kiama,2016,0.439,0.418,0.461,2026
Illawarra Shoalhaven LHD,Shellharbour,2016,0.408,0.394,0.421,5418
Illawarra Shoalhaven LHD,Shoalhaven,2016,0.442,0.432,0.452,9645
Illawarra Shoalhaven LHD,Wollongong,2016,0.39,0.382,0.398,15930
Mid North Coast LHD,Bellingen,2016,0.427,0.401,0.453,1395
Mid North Coast LHD,Coffs Harbour,2016,0.419,0.407,0.431,6462
Mid North Coast LHD,Kempsey,2016,0.396,0.378,0.414,2815
Mid North Coast LHD,Mid North Coast LHD,2016,0.418,0.411,0.425,20248
Mid North Coast LHD,Nambucca,2016,0.41,0.389,0.432,2038
Mid North Coast LHD,Port Macquarie-Hastings,2016,0.427,0.415,0.438,7538
Murrumbidgee LHD,Albury,2016,0.427,0.411,0.442,4028
Murrumbidgee LHD,Berrigan,2016,0.44,0.405,0.475,766
Murrumbidgee LHD,Bland,2016,0.372,0.327,0.417,444
Murrumbidgee LHD,Boorowa,2016,0.426,0.359,0.493,209
Murrumbidgee LHD,Carrathool,2016,0.37,0.298,0.442,173
Murrumbidgee LHD,Conargo,2016,0.407,0.222,0.593,27
Murrumbidgee LHD,Coolamon,2016,0.396,0.343,0.449,328
Murrumbidgee LHD,Cootamundra,2016,0.458,0.422,0.494,740
Murrumbidgee LHD,Corowa Shire,2016,0.435,0.405,0.465,1048
Murrumbidgee LHD,Deniliquin,2016,0.435,0.387,0.483,407
Murrumbidgee LHD,Greater Hume Shire,2016,0.385,0.351,0.419,792
Murrumbidgee LHD,Griffith,2016,0.369,0.346,0.391,1755
Murrumbidgee LHD,Gundagai,2016,0.368,0.31,0.426,266
Murrumbidgee LHD,Harden,2016,0.38,0.327,0.432,324
Murrumbidgee LHD,Hay,2016,0.392,0.331,0.453,250
Murrumbidgee LHD,Jerilderie,2016,0.377,0.285,0.47,106
Murrumbidgee LHD,Junee,2016,0.385,0.338,0.432,408
Murrumbidgee LHD,Lachlan,2016,0.31,0.228,0.392,122
Murrumbidgee LHD,Leeton,2016,0.38,0.346,0.414,792
Murrumbidgee LHD,Lockhart,2016,0.402,0.343,0.462,261
Murrumbidgee LHD,Murray,2016,0.448,0.416,0.48,944
Murrumbidgee LHD,Murrumbidgee,2016,0.418,0.345,0.491,177
Murrumbidgee LHD,Murrumbidgee LHD,2016,0.408,0.402,0.415,22349
Murrumbidgee LHD,Narrandera,2016,0.38,0.337,0.423,492
Murrumbidgee LHD,Temora,2016,0.419,0.374,0.464,463
Murrumbidgee LHD,Tumbarumba,2016,0.373,0.319,0.426,314
Murrumbidgee LHD,Tumut Shire,2016,0.414,0.383,0.446,944
Murrumbidgee LHD,Urana,2016,0.392,0.306,0.478,125
Murrumbidgee LHD,Wagga Wagga,2016,0.398,0.384,0.413,4325
Murrumbidgee LHD,Wakool,2016,0.439,0.385,0.494,314
Murrumbidgee LHD,Young,2016,0.427,0.396,0.457,1005
NSW,NSW,2016,0.378,0.377,0.379,573924
Nepean Blue Mountains LHD,Blue Mountains,2016,0.41,0.399,0.421,7628
Nepean Blue Mountains LHD,Hawkesbury,2016,0.354,0.34,0.367,5014
Nepean Blue Mountains LHD,Lithgow,2016,0.386,0.364,0.408,1892
Nepean Blue Mountains LHD,Nepean Blue Mountains LHD,2016,0.366,0.361,0.372,27947
Nepean Blue Mountains LHD,Penrith,2016,0.343,0.335,0.351,13413
Northern NSW LHD,Ballina,2016,0.419,0.403,0.434,3894
Northern NSW LHD,Byron,2016,0.381,0.364,0.398,3129
Northern NSW LHD,Clarence Valley,2016,0.419,0.406,0.432,5245
Northern NSW LHD,Kyogle,2016,0.405,0.372,0.437,877
Northern NSW LHD,Lismore,2016,0.394,0.379,0.409,3979
Northern NSW LHD,Northern NSW LHD,2016,0.403,0.397,0.409,26966
Northern NSW LHD,Richmond Valley,2016,0.387,0.365,0.408,1961
Northern NSW LHD,Urbenville,2016,0.337,0.194,0.48,42
Northern NSW LHD,Tweed,2016,0.402,0.391,0.413,7839
Northern Sydney LHD,Hornsby,2016,0.392,0.384,0.4,13523
Northern Sydney LHD,Hunters Hill,2016,0.385,0.357,0.413,1167
Northern Sydney LHD,Ku-ring-gai,2016,0.397,0.388,0.407,10347
